SUBZONE_N,ServiceNo
INSTITUTION HILL,54
INSTITUTION HILL,NR1
INSTITUTION HILL,NR2
INSTITUTION HILL,NR5
INSTITUTION HILL,NR6
INSTITUTION HILL,NR7
INSTITUTION HILL,NR8
ROBERTSON QUAY,123
ROBERTSON QUAY,143
ROBERTSON QUAY,64
ROBERTSON QUAY,186
ROBERTSON QUAY,1N
ROBERTSON QUAY,2N
ROBERTSON QUAY,3N
ROBERTSON QUAY,4N
ROBERTSON QUAY,51
ROBERTSON QUAY,5N
ROBERTSON QUAY,6N
ROBERTSON QUAY,139
ROBERTSON QUAY,195
ROBERTSON QUAY,32
ROBERTSON QUAY,54
ROBERTSON QUAY,NR1
ROBERTSON QUAY,NR2
ROBERTSON QUAY,NR3
ROBERTSON QUAY,NR5
ROBERTSON QUAY,NR6
ROBERTSON QUAY,NR7
ROBERTSON QUAY,NR8
ROBERTSON QUAY,16
ROBERTSON QUAY,175
ROBERTSON QUAY,5
ROBERTSON QUAY,564
ROBERTSON QUAY,75
ROBERTSON QUAY,970
SENTOSA,188R
SENTOSA,963R
SENTOSA,NR1
SENTOSA,NR6
SENTOSA,RWS8
CITY TERMINALS,10
CITY TERMINALS,100
CITY TERMINALS,131
CITY TERMINALS,145
CITY TERMINALS,30
CITY TERMINALS,30e
CITY TERMINALS,502
CITY TERMINALS,57
CITY TERMINALS,80
CITY TERMINALS,97
CITY TERMINALS,97e
CITY TERMINALS,NR1
CITY TERMINALS,NR6
CITY TERMINALS,123
CITY TERMINALS,123M
CITY TERMINALS,143
CITY TERMINALS,166
CITY TERMINALS,61
CITY TERMINALS,65
CITY TERMINALS,855
CITY TERMINALS,124
ANSON,10
ANSON,100
ANSON,106
ANSON,107
ANSON,10e
ANSON,128
ANSON,130
ANSON,133
ANSON,162
ANSON,196
ANSON,196e
ANSON,513
ANSON,531
ANSON,589
ANSON,70
ANSON,75
ANSON,850E
ANSON,868
ANSON,951E
ANSON,97
ANSON,97e
ANSON,982E
ANSON,145
ANSON,80
ANSON,167
